task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,moved_region_change_skill_mean,moved_region_change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,flops_per_forward_mean,train_step_time_ms_mean,mamba_backend,seeds
METAWORLD_HF:mw-reach,AdaLN,1,3,0.31984072438174577,0.025335985180612836,0.6049619126226975,0.012269168662339954,0.4330335037823965,0.02103487696837044,0.946166734343075,0.004515847485556768,344680,0,292.8870492300003,,1 2 3
METAWORLD_HF:mw-reach,AdaLN,2,3,0.54785379168228,0.022938041691651617,0.7460115893342469,0.011803019955540405,0.6260774560021747,0.019517914172462212,0.9541644357554689,0.003099829946709484,344680,0,292.8870492300003,,1 2 3
METAWORLD_HF:mw-reach,AdaLN,3,3,0.6259558783940465,0.022185300156480844,0.7905945461225982,0.012054194049649934,0.6900659817741058,0.019245734310814076,0.9523004446126072,0.006181771154319798,344680,0,292.8870492300003,,1 2 3
METAWORLD_HF:mw-reach,AdaLN,4,3,0.6593620891965686,0.022172698989220724,0.8081014932882008,0.013311384605465664,0.716598967863344,0.01980819634374866,0.9497312271804114,0.010424775264097923,344680,0,292.8870492300003,,1 2 3
METAWORLD_HF:mw-reach,AdaLN,5,3,0.6722311548026333,0.024900551633417603,0.8137897856116126,0.014843030042865087,0.7258158939630436,0.022741443295683735,0.9463397582575368,0.015436217195644693,344680,0,292.8870492300003,,1 2 3
METAWORLD_HF:mw-reach,AdaLN,6,3,0.6743759612767697,0.028299567571642262,0.8128892111716389,0.016843568147245788,0.7259515262493471,0.026501102109414157,0.9406332754299588,0.021454032849429403,344680,0,292.8870492300003,,1 2 3
METAWORLD_HF:mw-reach-wall,AdaLN,1,3,0.33492526130677547,0.01923748491573808,0.6194190620991483,0.014364931570170523,0.44950833060659784,0.01719351016285549,0.953130687166008,0.004257488892278289,344680,0,297.3955671856666,,1 2 3
METAWORLD_HF:mw-reach-wall,AdaLN,2,3,0.5715118288641523,0.01299861385818586,0.7643336945020295,0.008669775189950477,0.648976259535842,0.011667592859598369,0.9570386087507058,0.005373229940476409,344680,0,297.3955671856666,,1 2 3
METAWORLD_HF:mw-reach-wall,AdaLN,3,3,0.6545653891215265,0.009887172444105658,0.8135979964177835,0.0077865342887747085,0.7173127441143338,0.009429782189358074,0.9498510221920662,0.008385766219176688,344680,0,297.3955671856666,,1 2 3
METAWORLD_HF:mw-reach-wall,AdaLN,4,3,0.6924451289022763,0.008303680203326787,0.8360396895328704,0.0073397102200726564,0.7485679523218541,0.008141772447228308,0.9408653732817132,0.017487784776202327,344680,0,297.3955671856666,,1 2 3
METAWORLD_HF:mw-reach-wall,AdaLN,5,3,0.7115838568316718,0.006883423299130576,0.8458523433814129,0.0054357802770273345,0.7634330070043451,0.006789018525929931,0.9340765553978603,0.02817940594009396,344680,0,297.3955671856666,,1 2 3
METAWORLD_HF:mw-reach-wall,AdaLN,6,3,0.7213078650111494,0.004890759563107624,0.8508532686804336,0.004281286311950543,0.7710659610910607,0.005451548597586403,0.9309255534390856,0.03445695318398338,344680,0,297.3955671856666,,1 2 3
PointMaze,AdaLN,1,3,0.3142259378767525,0.05414795973645454,0.5511299463474923,0.06619350990181722,0.42450453780822234,0.0590370822216097,0.9272381439948041,0.010431096478085381,343480,0,279.8813811716669,,234 235 236
PointMaze,AdaLN,2,3,0.4103756710651549,0.037833799615485275,0.6225827342129245,0.04612429137888877,0.5178423973942217,0.040972936708536384,0.9316850727221513,0.007920191267555483,343480,0,279.8813811716669,,234 235 236
PointMaze,AdaLN,3,3,0.3936407308673737,0.03210371907461747,0.616659194756902,0.03729970327244697,0.5107799229653015,0.03369287236404676,0.9190608444847301,0.010356883458709496,343480,0,279.8813811716669,,234 235 236
PointMaze,AdaLN,4,3,0.343500922178618,0.029231751143120703,0.5928464180032046,0.03332345300565118,0.4768225213021626,0.030233268626557654,0.8997546666832749,0.01197357860297359,343480,0,279.8813811716669,,234 235 236
PointMaze,AdaLN,5,3,0.2837294990286074,0.029015576567804662,0.5662820960211897,0.03130219698583034,0.4360819704580791,0.028957665212203318,0.8757335037618731,0.015694847813228167,343480,0,279.8813811716669,,234 235 236
PointMaze,AdaLN,6,3,0.222502629449274,0.03138816663934172,0.5420008967833635,0.0310176603716973,0.3964402839749013,0.03004521654957254,0.8466828630667651,0.015989149232800513,343480,0,279.8813811716669,,234 235 236
PushT,AdaLN,1,3,0.34898854027919307,0.005574421034110859,0.5805942418482458,0.005754945651516993,0.44958195781231397,0.005624445732570439,0.9967570269736532,0.0013919807672290328,343480,0,269.1410454116668,,234 235 236
PushT,AdaLN,2,3,0.4875106608264703,0.008482514771568427,0.6666279769165949,0.008026917034109038,0.563644783857919,0.008129658742018585,0.9973859472581261,0.0011925139993674773,343480,0,269.1410454116668,,234 235 236
PushT,AdaLN,3,3,0.5338269133425909,0.012412215814262217,0.6916638709623234,0.010207639522813361,0.5977842515166206,0.011491544557772744,0.997185306304481,0.0012703679762653976,343480,0,269.1410454116668,,234 235 236
PushT,AdaLN,4,3,0.5584933198830159,0.015609517380862267,0.7062006412719034,0.011280302548478727,0.6163591384092305,0.013987507964599402,0.9969359976912746,0.0013712891552085642,343480,0,269.1410454116668,,234 235 236
PushT,AdaLN,5,3,0.5725027521204794,0.018167038633450826,0.716104713234493,0.011561008342546553,0.6286384357150597,0.015729858387375704,0.9966449369974866,0.0015225910407547947,343480,0,269.1410454116668,,234 235 236
PushT,AdaLN,6,3,0.5847945518006875,0.019808433664456303,0.7244901585498926,0.011227576724631103,0.6399897081000807,0.01666156381311436,0.9963200827303199,0.001692750528249859,343480,0,269.1410454116668,,234 235 236
Wall,AdaLN,1,3,0.7006436266711203,0.019071593063358334,0.8094860259078592,0.014019251369422064,0.7501294545905903,0.015778113184735664,0.9256119545878804,0.009095752247285482,343448,0,289.1298219566668,,234 235 236
Wall,AdaLN,2,3,0.7905364049442104,0.01125848582837399,0.8699528193818177,0.008752381326596424,0.8254916246515376,0.010152237137399472,0.9441805070136927,0.00606766800585771,343448,0,289.1298219566668,,234 235 236
Wall,AdaLN,3,3,0.8078850147325793,0.007838172240415964,0.8812553116377511,0.006501244087848425,0.8385769796783217,0.007592453548331744,0.9450210344704922,0.007805639491728968,343448,0,289.1298219566668,,234 235 236
Wall,AdaLN,4,3,0.8112363636381974,0.0034292610892842075,0.8840957380856168,0.0049926528665507775,0.8409245725616364,0.004205624158796101,0.9417911726087874,0.010576743002479651,343448,0,289.1298219566668,,234 235 236
Wall,AdaLN,5,3,0.8089839158229815,0.0010544178303620523,0.8840190203123995,0.0035715235621695046,0.8388938462613401,0.0009543785312424226,0.9372720144450235,0.012193216549596184,343448,0,289.1298219566668,,234 235 236
Wall,AdaLN,6,3,0.8054978760881508,0.003620085092996321,0.882484756724493,0.0035498516969450396,0.8356225214280585,0.0007882948849116496,0.9307419567752148,0.012768532425116021,343448,0,289.1298219566668,,234 235 236
