epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,4.97217,1287.67297,1390.38706,2.23438,0.02747,-2.32812,1.00781,0.00000,0.00050,0.00000,0.00010,4.96316,0.00000,4.97217,2.63891,4.99626,6.12755,6.65376,-0.99157,-0.97534,-0.95718,-0.93764,0.69116,1.42799,1.69894,1.81417,0.69053,2.93394,4.13864,4.69391,0.32474,0.99991,1.26104,1.37025,-0.02569,0.03143,-0.00507,-0.01945,1.09302,1.13372,1.11667,1.09906,1.94838,2.06232,1.98891,1.95985,0.69056,0.72605,0.71003,0.69396
1,1,4.09041,170.04352,278.57494,2.28125,-0.13867,-2.21875,0.98438,0.00000,0.00050,0.00000,0.00017,5.20179,0.00000,4.09041,2.35538,3.98607,5.04475,5.44651,-0.98911,-0.96631,-0.94453,-0.92878,0.62392,1.21180,1.48126,1.58203,0.58060,2.18610,3.31143,3.77697,0.27537,0.78749,1.04185,1.13472,-0.11250,-0.09982,-0.13305,-0.16486,1.03962,1.05541,1.04208,1.01802,1.77478,1.79997,1.73332,1.66954,0.64337,0.65446,0.64181,0.62000
1,2,3.41546,201.53564,259.81760,2.32812,0.17676,-2.25000,0.97266,0.00000,0.00050,0.00000,0.00022,5.89900,0.00000,3.41546,2.07845,3.22523,4.20252,4.57133,-0.99394,-0.97301,-0.95473,-0.94076,0.57304,1.07326,1.35763,1.46313,0.49334,1.71471,2.76031,3.22669,0.23856,0.66106,0.92350,1.02216,-0.20735,-0.24462,-0.27873,-0.32750,0.98130,0.96194,0.95196,0.91277,1.58510,1.51051,1.44221,1.34464,0.59134,0.57013,0.55973,0.52643
1,3,2.81826,182.44717,258.64840,2.28125,-0.02100,-2.23438,0.97656,0.00000,0.00050,0.00000,0.00026,6.04893,0.00000,2.81826,1.71133,2.50102,3.45594,3.94704,-0.99010,-0.96693,-0.93700,-0.91289,0.46950,0.90222,1.22132,1.36885,0.33278,1.25719,2.28229,2.83459,0.16271,0.51464,0.80518,0.94079,-0.31066,-0.37802,-0.41310,-0.44369,0.91372,0.86859,0.85604,0.82708,1.37855,1.24382,1.17365,1.11244,0.53116,0.48774,0.47432,0.45095
1,4,1.91700,178.73894,231.88663,2.31250,-0.10059,-2.21875,1.01562,0.00000,0.00050,0.00000,0.00029,4.82157,0.00000,1.91700,1.40116,1.72416,2.20883,2.61407,-0.98130,-0.95005,-0.90808,-0.85506,0.39802,0.68903,0.91496,1.06257,0.23800,0.70989,1.24125,1.66979,0.11825,0.32793,0.51941,0.65033,-0.41837,-0.49282,-0.51617,-0.52782,0.83975,0.78266,0.77261,0.75900,1.16316,1.01427,0.96757,0.94428,0.46560,0.41341,0.40295,0.39268
1,5,1.20642,193.71889,255.86820,2.04688,0.11084,-2.25000,0.98438,0.00000,0.00050,0.00000,0.00031,3.45493,0.00000,1.20642,1.14028,1.15632,1.30157,1.45559,-0.98921,-0.96639,-0.96064,-0.94886,0.31784,0.42862,0.54227,0.63604,0.16513,0.30324,0.47258,0.63744,0.08233,0.14716,0.22338,0.29242,-0.51239,-0.57343,-0.58548,-0.59090,0.76803,0.71537,0.70918,0.70204,0.97515,0.85308,0.82899,0.81815,0.40365,0.35756,0.35153,0.34651
2,0,0.98080,209.40198,264.51612,2.15625,0.00191,-2.35938,0.98828,0.00000,0.00050,0.00000,0.00033,2.38717,0.00000,0.98080,0.96292,0.96470,1.05151,1.13665,-0.99229,-0.97242,-0.94541,-0.91086,0.29452,0.37019,0.45503,0.52690,0.14009,0.21712,0.31608,0.41177,0.06984,0.10720,0.15601,0.20226,-0.58856,-0.62619,-0.63227,-0.63754,0.70298,0.66667,0.66353,0.65679,0.82282,0.74758,0.73543,0.72488,0.34907,0.31873,0.31538,0.31067
2,1,0.72239,215.90471,314.89420,2.23438,0.17480,-2.35938,1.01562,0.00000,0.00050,0.00000,0.00034,1.61888,0.00000,0.72239,0.77180,0.75992,0.75735,0.75484,-0.98971,-0.96558,-0.93536,-0.91780,0.19049,0.22185,0.24411,0.24770,0.06589,0.09201,0.10500,0.10821,0.03289,0.04547,0.05207,0.05375,-0.64702,-0.66603,-0.67381,-0.67667,0.64757,0.62592,0.61881,0.61550,0.70591,0.66791,0.65235,0.64663,0.30463,0.28789,0.28243,0.27993
2,2,0.64102,224.65511,320.97840,2.09375,-0.02087,-2.09375,1.00000,0.00000,0.00050,0.00000,0.00032,1.27470,0.00000,0.64102,0.65015,0.64365,0.67819,0.72211,-0.98663,-0.93796,-0.89389,-0.86795,0.12341,0.17756,0.23535,0.28709,0.03025,0.04955,0.08345,0.12385,0.01511,0.02478,0.04172,0.06192,-0.69004,-0.70294,-0.70262,-0.70086,0.60299,0.58627,0.58665,0.58911,0.61990,0.59409,0.59474,0.59827,0.27064,0.25885,0.25931,0.26089
2,3,0.59242,194.02000,280.45225,2.32812,0.19336,-2.17188,0.94141,0.00000,0.00050,0.00000,0.00030,1.07248,0.00000,0.59242,0.56737,0.57789,0.62706,0.71086,-0.99311,-0.97370,-0.94964,-0.92208,0.09406,0.16304,0.24802,0.33790,0.01810,0.04041,0.09248,0.16887,0.00905,0.02020,0.04624,0.08441,-0.72535,-0.73125,-0.73270,-0.72899,0.56393,0.55502,0.55299,0.55724,0.54927,0.53747,0.53458,0.54199,0.24247,0.23660,0.23540,0.23840
