epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,mgvt_d/d_h_mean,mgvt_d/d_h_std,mgvt_d/guidance_gate_mean,mgvt_d/guidance_norm,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,2.19282,883.03687,1018.16869,2.21875,0.01892,-2.21875,0.94922,0.00000,0.00050,0.00000,-0.00723,0.19531,0.50000,0.10451,0.00008,3.53044,0.00000,2.19282,2.33402,2.31704,2.26386,2.32315,0.06826,-0.01869,0.03615,-0.05811,0.47568,0.46600,0.47057,0.48108,0.34832,0.33701,0.35141,0.36073,0.16821,0.16328,0.16948,0.17323,-0.00704,-0.00988,-0.04368,-0.01869,1.11565,1.10453,1.08462,1.10134,1.98570,1.98003,1.91246,1.96241,0.70764,0.70011,0.68115,0.69698
1,1,2.01223,129.61613,194.81039,2.25000,-0.14160,-2.09375,0.96875,0.00000,0.00050,0.00000,0.00793,0.24316,0.50000,0.11191,0.00013,3.67600,0.00000,2.01223,2.18501,2.08973,2.11736,2.09384,-0.26487,-0.33183,-0.31460,-0.30386,0.67702,0.67295,0.68944,0.68535,0.69390,0.68712,0.71415,0.71047,0.31191,0.30902,0.32064,0.31779,-0.25438,-0.29864,-0.29833,-0.30825,0.96063,0.93141,0.93115,0.92458,1.49110,1.40260,1.40321,1.38337,0.56980,0.54278,0.54162,0.53614
1,2,1.65370,119.73034,164.96420,2.15625,-0.14355,-2.12500,0.99219,0.00000,0.00050,0.00000,0.03418,0.29688,0.50000,0.12290,0.00016,3.02567,0.00000,1.65370,1.80835,1.71434,1.72508,1.72872,-0.32545,-0.31613,-0.29173,-0.27121,0.63740,0.63948,0.63220,0.62969,0.64199,0.63686,0.64205,0.65488,0.29272,0.29170,0.29176,0.29448,-0.41677,-0.46122,-0.45844,-0.46304,0.84363,0.81208,0.81214,0.80879,1.16636,1.07748,1.08303,1.07384,0.46801,0.43914,0.43864,0.43606
1,3,1.44852,147.24217,194.15188,2.20312,0.04443,-2.14062,0.98828,0.00000,0.00050,0.00000,0.02429,0.33008,0.50391,0.12993,0.00018,2.58827,0.00000,1.44852,1.57256,1.52391,1.50291,1.50922,-0.27401,-0.23544,-0.23783,-0.22392,0.65589,0.66053,0.65542,0.65920,0.64234,0.65098,0.63100,0.63828,0.29737,0.30113,0.29388,0.29657,-0.53485,-0.56350,-0.56401,-0.56449,0.74645,0.72444,0.72034,0.72009,0.93023,0.87292,0.87192,0.87095,0.38700,0.36714,0.36451,0.36426
1,4,1.13634,138.04956,186.65147,2.32812,-0.06494,-2.31250,1.02344,0.00000,0.00050,0.00000,0.06348,0.39453,0.50000,0.13982,0.00020,2.21028,0.00000,1.13634,1.20258,1.18147,1.19397,1.20783,-0.58398,-0.57102,-0.53878,-0.52611,0.53520,0.53980,0.54531,0.54652,0.45434,0.45588,0.46161,0.47104,0.21160,0.21202,0.21555,0.21969,-0.62585,-0.63718,-0.63379,-0.63158,0.66489,0.65536,0.65709,0.65981,0.74824,0.72559,0.73236,0.73679,0.32062,0.31219,0.31344,0.31527
1,5,1.00434,148.74838,194.22793,2.29688,0.00656,-2.17188,0.98828,0.00000,0.00050,0.00000,0.07959,0.43945,0.50000,0.14626,0.00022,1.86225,0.00000,1.00434,1.06829,1.05653,1.04311,1.06308,-0.59760,-0.60072,-0.58285,-0.56752,0.50732,0.50907,0.49160,0.49261,0.43258,0.42892,0.41311,0.42212,0.20222,0.20130,0.19308,0.19580,-0.68212,-0.68617,-0.68497,-0.67950,0.61106,0.60757,0.60797,0.61409,0.63571,0.62761,0.63000,0.64096,0.27775,0.27479,0.27479,0.27913
2,0,0.97075,104.23981,201.14517,1.95312,-0.30664,-2.20312,0.95703,0.00000,0.00050,0.00000,0.09180,0.48828,0.50000,0.15623,0.00024,1.52216,0.00000,0.97075,1.01395,1.02006,1.02572,1.02607,-0.31284,-0.31119,-0.32339,-0.30621,0.53868,0.54187,0.53847,0.53708,0.46663,0.47526,0.47059,0.46662,0.22094,0.22486,0.22211,0.22026,-0.72632,-0.72758,-0.72241,-0.72026,0.56555,0.56490,0.56968,0.57189,0.54731,0.54480,0.55514,0.55945,0.24288,0.24213,0.24550,0.24712
2,1,0.95176,105.59014,216.84098,2.17188,-0.05420,-2.18750,0.99219,0.00000,0.00050,0.00000,0.09961,0.51953,0.50000,0.16180,0.00026,1.23022,0.00000,0.95176,0.98176,0.98120,1.01416,1.02628,-0.41867,-0.41046,-0.40606,-0.40204,0.58720,0.59321,0.59935,0.59531,0.49827,0.50093,0.51195,0.51442,0.24012,0.24215,0.24711,0.24685,-0.75823,-0.75985,-0.74888,-0.74405,0.52688,0.52530,0.53705,0.54282,0.48350,0.48027,0.50221,0.51186,0.21613,0.21490,0.22321,0.22706
2,2,0.75977,134.61789,183.70676,2.17188,-0.03638,-2.31250,0.99219,0.00000,0.00050,0.00000,0.10010,0.53906,0.50000,0.16826,0.00028,1.00024,0.00000,0.75977,0.78019,0.78729,0.80842,0.81920,-0.43821,-0.41308,-0.42898,-0.45082,0.43929,0.44394,0.44029,0.44027,0.34053,0.34148,0.34347,0.35253,0.16034,0.16282,0.16157,0.16262,-0.78016,-0.77708,-0.76751,-0.76665,0.50007,0.50401,0.51440,0.51546,0.43966,0.44581,0.46495,0.46667,0.19779,0.20033,0.20772,0.20843
2,3,0.68457,140.35609,185.11629,1.96875,-0.27539,-2.20312,0.99609,0.00000,0.00050,0.00000,0.10205,0.57422,0.50000,0.17514,0.00031,0.86156,0.00000,0.68457,0.70452,0.69581,0.72643,0.75243,-0.47729,-0.48841,-0.46315,-0.43655,0.41770,0.40765,0.41024,0.42396,0.29072,0.27855,0.28126,0.30147,0.14212,0.13654,0.13740,0.14638,-0.79309,-0.79135,-0.77740,-0.77450,0.48293,0.48549,0.50145,0.50435,0.41380,0.41727,0.44517,0.45097,0.18669,0.18825,0.19941,0.20158
