epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,mgvt_d/d_h_mean,mgvt_d/d_h_std,mgvt_d/guidance_gate_mean,mgvt_d/guidance_norm,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,2.25116,1018.86444,1142.51661,2.23438,0.02747,-2.32812,1.00781,0.00000,0.00050,0.00000,-0.00034,0.00378,0.50000,0.07774,0.00009,3.50952,0.00000,2.25116,2.31321,2.25686,2.43264,2.46455,-0.16642,-0.02919,0.02631,0.22553,0.47719,0.49414,0.48970,0.48231,0.34213,0.35868,0.36193,0.35726,0.16781,0.17658,0.17676,0.17393,-0.01436,-0.05081,0.03545,0.05374,1.10132,1.08962,1.13968,1.15624,1.97108,1.89818,2.07071,2.10729,0.69595,0.68489,0.73052,0.74545
1,1,2.01961,117.31869,211.66611,2.28125,-0.13867,-2.21875,0.98438,0.00000,0.00050,0.00000,0.00016,0.00443,0.50000,0.08364,0.00014,3.75376,0.00000,2.01961,2.13500,2.05316,2.14552,2.17175,-0.30528,-0.30810,-0.34801,-0.35765,0.61636,0.61959,0.63112,0.63918,0.57143,0.57444,0.59570,0.61120,0.27281,0.27489,0.28424,0.29029,-0.21814,-0.26057,-0.22502,-0.21965,0.98248,0.96149,0.98252,0.98416,1.56357,1.47872,1.54981,1.56055,0.58930,0.56814,0.58784,0.59133
1,2,1.46381,97.04006,180.14693,2.32812,0.17676,-2.25000,0.97266,0.00000,0.00050,0.00000,-0.00072,0.00558,0.49805,0.10296,0.00017,3.27088,0.00000,1.46381,1.59664,1.51383,1.52974,1.53435,-0.32537,-0.29921,-0.33967,-0.32071,0.53219,0.52675,0.53560,0.54930,0.38968,0.38054,0.38896,0.41025,0.19242,0.18811,0.19182,0.20205,-0.39646,-0.43331,-0.42957,-0.43791,0.86770,0.84722,0.84543,0.83983,1.20696,1.13329,1.14077,1.12410,0.48565,0.46546,0.46545,0.46025
1,3,1.32033,96.30650,181.50258,2.28125,-0.02100,-2.23438,0.97656,0.00000,0.00050,0.00000,-0.00022,0.00711,0.49805,0.11822,0.00020,2.78556,0.00000,1.32033,1.42003,1.36606,1.38911,1.39011,-0.50114,-0.50636,-0.53127,-0.52285,0.56901,0.56471,0.57874,0.58023,0.45885,0.45482,0.46974,0.47050,0.22358,0.22189,0.22845,0.22893,-0.51937,-0.54434,-0.54028,-0.54016,0.77437,0.75570,0.75784,0.75859,0.96117,0.91124,0.91937,0.91961,0.40511,0.38839,0.38995,0.38977
1,4,1.05922,102.48781,177.06037,2.31250,-0.10059,-2.21875,1.01562,0.00000,0.00050,0.00000,-0.00046,0.00800,0.49805,0.12930,0.00023,2.37112,0.00000,1.05922,1.12511,1.08470,1.10857,1.14351,-0.59683,-0.61684,-0.60727,-0.58081,0.48540,0.47559,0.48559,0.50298,0.35805,0.34463,0.35917,0.38155,0.17401,0.16793,0.17423,0.18433,-0.61644,-0.62994,-0.62527,-0.61899,0.68714,0.67466,0.67584,0.68203,0.76706,0.74007,0.74940,0.76196,0.33339,0.32295,0.32473,0.32930
1,5,0.96259,96.18000,174.22390,2.04688,0.11084,-2.25000,0.98438,0.00000,0.00050,0.00000,-0.00095,0.00946,0.49805,0.14224,0.00025,2.03198,0.00000,0.96259,1.01029,0.99465,1.01727,1.03022,-0.63858,-0.62992,-0.62990,-0.63126,0.49753,0.49681,0.50139,0.50413,0.37203,0.37075,0.38018,0.38564,0.17945,0.17847,0.18281,0.18569,-0.68085,-0.68803,-0.68143,-0.67769,0.61875,0.61076,0.61515,0.61871,0.63826,0.62390,0.63709,0.64458,0.28176,0.27553,0.27933,0.28199
2,0,0.90022,107.93735,176.12052,2.15625,0.00191,-2.35938,0.98828,0.00000,0.00050,0.00000,-0.00080,0.01074,0.50000,0.15267,0.00028,1.73733,0.00000,0.90022,0.95042,0.96679,0.94705,0.92672,-0.59563,-0.57923,-0.59660,-0.60903,0.52506,0.53569,0.51889,0.50510,0.40828,0.42791,0.39126,0.36919,0.19939,0.20849,0.19195,0.18167,-0.72891,-0.73054,-0.72209,-0.72121,0.56371,0.56019,0.56871,0.56895,0.54215,0.53888,0.55578,0.55754,0.24152,0.23934,0.24532,0.24573
2,1,0.80137,97.35904,164.55364,2.23438,0.17480,-2.35938,1.01562,0.00000,0.00050,0.00000,-0.00123,0.01215,0.50000,0.16330,0.00030,1.39138,0.00000,0.80137,0.82684,0.83255,0.84954,0.86193,-0.62408,-0.62655,-0.61470,-0.60430,0.47830,0.47694,0.48099,0.48661,0.35380,0.35150,0.35640,0.36506,0.17153,0.17037,0.17270,0.17644,-0.76346,-0.75946,-0.75341,-0.75155,0.52187,0.52514,0.53127,0.53300,0.47304,0.48105,0.49314,0.49687,0.21223,0.21496,0.21919,0.22053
2,2,0.61879,105.55104,186.76043,2.09375,-0.02087,-2.09375,1.00000,0.00000,0.00050,0.00000,-0.00074,0.01428,0.50000,0.17364,0.00033,1.14968,0.00000,0.61879,0.62805,0.62041,0.66296,0.68936,-0.70915,-0.71753,-0.69297,-0.67449,0.35239,0.34563,0.35627,0.36583,0.19935,0.18706,0.20644,0.22213,0.09899,0.09318,0.10246,0.10989,-0.78564,-0.78331,-0.77172,-0.76637,0.49269,0.49422,0.50779,0.51457,0.42869,0.43335,0.45652,0.46723,0.19301,0.19451,0.20353,0.20794
2,3,0.72479,108.22224,193.50123,2.32812,0.19336,-2.17188,0.94141,0.00000,0.00050,0.00000,-0.00156,0.01471,0.50000,0.17624,0.00036,0.99532,0.00000,0.72479,0.73994,0.73162,0.76704,0.80856,-0.56864,-0.57288,-0.56122,-0.53792,0.48688,0.47509,0.49162,0.51431,0.34464,0.33231,0.34758,0.37356,0.17016,0.16404,0.17158,0.18443,-0.80234,-0.80033,-0.79026,-0.78249,0.47077,0.47337,0.48516,0.49425,0.39530,0.39931,0.41945,0.43500,0.17877,0.18028,0.18825,0.19447
