epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,mgvt_d/d_h_mean,mgvt_d/d_h_std,mgvt_d/guidance_gate_mean,mgvt_d/guidance_norm,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,2.26346,772.58386,908.22530,2.23438,0.02747,-2.32812,1.00781,0.00000,0.00050,0.00000,0.00132,0.02783,0.50000,0.10062,0.00012,3.63441,0.00000,2.26346,2.43476,2.41446,2.36562,2.32594,0.05716,0.04409,-0.08789,-0.05387,0.59689,0.60632,0.60704,0.59693,0.50636,0.52538,0.51859,0.49931,0.24574,0.25454,0.25150,0.24259,-0.03571,-0.05537,-0.07639,-0.08660,1.09684,1.08054,1.07383,1.06957,1.92839,1.88908,1.84703,1.82664,0.69315,0.67720,0.66930,0.66725
1,1,2.01630,180.75620,243.29877,2.28125,-0.13867,-2.21875,0.98438,0.00000,0.00050,0.00000,0.00293,0.02795,0.50000,0.10204,0.00020,3.64524,0.00000,2.01630,2.17926,2.13246,2.06930,2.12002,-0.27606,-0.29509,-0.28112,-0.26998,0.69423,0.69338,0.70687,0.71756,0.72055,0.72457,0.74862,0.76071,0.32755,0.32919,0.33791,0.34265,-0.27058,-0.29599,-0.33960,-0.32029,0.95759,0.93673,0.90590,0.92153,1.45871,1.40790,1.32068,1.35931,0.56524,0.54695,0.52270,0.53561
1,2,1.57480,89.37638,720.62540,2.32812,0.17676,-2.25000,0.97266,0.00000,0.00050,0.00000,0.00371,0.03149,0.50000,0.10716,0.00025,3.08394,0.00000,1.57480,1.69801,1.63357,1.62927,1.67793,-0.41821,-0.48660,-0.45967,-0.44004,0.63641,0.62893,0.63744,0.64958,0.59425,0.57647,0.59358,0.61979,0.28099,0.27361,0.28148,0.29244,-0.44807,-0.47140,-0.48211,-0.47089,0.82965,0.80853,0.79813,0.80817,1.10376,1.05711,1.03569,1.05814,0.45285,0.43595,0.42716,0.43611
1,3,1.28632,81.33779,235.44860,2.28125,-0.02100,-2.23438,0.97656,0.00000,0.00050,0.00000,0.00446,0.03345,0.50000,0.11315,0.00029,2.57187,0.00000,1.28632,1.36836,1.33185,1.35119,1.36756,-0.48240,-0.47576,-0.47663,-0.47488,0.57277,0.56928,0.57731,0.58238,0.49057,0.48444,0.49865,0.50781,0.23338,0.22971,0.23788,0.24296,-0.56107,-0.57626,-0.57369,-0.57009,0.73296,0.71539,0.71935,0.72181,0.87779,0.84741,0.85254,0.85975,0.37266,0.35920,0.36079,0.36357
1,4,1.07807,94.47206,193.71700,2.31250,-0.10059,-2.21875,1.01562,0.00000,0.00050,0.00000,0.00598,0.03491,0.50000,0.12146,0.00033,2.15798,0.00000,1.07807,1.13864,1.09838,1.13298,1.16999,-0.60067,-0.62292,-0.60431,-0.58133,0.53718,0.52581,0.53648,0.54786,0.43150,0.41116,0.43567,0.46200,0.20579,0.19709,0.20720,0.21792,-0.64640,-0.65636,-0.65131,-0.64598,0.64908,0.63629,0.64191,0.64712,0.70714,0.68722,0.69732,0.70800,0.30677,0.29766,0.30108,0.30531
1,5,1.01708,94.86976,193.52531,2.04688,0.11084,-2.25000,0.98438,0.00000,0.00050,0.00000,0.00766,0.04053,0.50000,0.12705,0.00038,1.80610,0.00000,1.01708,1.06256,1.05546,1.07820,1.08463,-0.67800,-0.68178,-0.66979,-0.65933,0.54951,0.55004,0.55331,0.55381,0.46891,0.47001,0.48004,0.48196,0.22345,0.22413,0.22802,0.22826,-0.70315,-0.70725,-0.70090,-0.69865,0.58818,0.58282,0.58899,0.59164,0.59365,0.58545,0.59816,0.60267,0.26176,0.25773,0.26194,0.26382
2,0,0.97214,82.59325,180.31669,2.15625,0.00191,-2.35938,0.98828,0.00000,0.00050,0.00000,0.01007,0.04272,0.50000,0.13500,0.00043,1.50989,0.00000,0.97214,1.02464,1.04789,1.02437,0.99658,-0.61094,-0.59780,-0.61242,-0.61658,0.57902,0.58751,0.56932,0.55927,0.50398,0.52517,0.48546,0.45998,0.24165,0.25067,0.23425,0.22334,-0.73965,-0.73863,-0.73052,-0.73168,0.54800,0.54763,0.55561,0.55492,0.52067,0.52271,0.53892,0.53660,0.23246,0.23233,0.23814,0.23740
2,1,0.89482,77.64822,159.00755,2.23438,0.17480,-2.35938,1.01562,0.00000,0.00050,0.00000,0.01367,0.05054,0.50000,0.13918,0.00048,1.28395,0.00000,0.89482,0.92589,0.92410,0.94902,0.96545,-0.65482,-0.65444,-0.65080,-0.64523,0.52807,0.52136,0.53084,0.53978,0.45718,0.44777,0.45967,0.47605,0.21742,0.21319,0.21856,0.22529,-0.76563,-0.76182,-0.75531,-0.75528,0.51818,0.52134,0.52747,0.52806,0.46871,0.47632,0.48935,0.48940,0.21098,0.21336,0.21807,0.21822
2,2,0.71724,92.23129,172.52016,2.09375,-0.02087,-2.09375,1.00000,0.00000,0.00050,0.00000,0.01794,0.05273,0.50000,0.14196,0.00054,1.09450,0.00000,0.71724,0.73395,0.71889,0.76676,0.79613,-0.73234,-0.74062,-0.72190,-0.71151,0.44450,0.43560,0.44944,0.46356,0.30026,0.28273,0.30711,0.32853,0.14787,0.13971,0.15130,0.16153,-0.78314,-0.78191,-0.77016,-0.76618,0.49623,0.49676,0.50975,0.51458,0.43369,0.43616,0.45965,0.46761,0.19582,0.19644,0.20548,0.20857
2,3,0.86323,128.24870,193.91346,2.32812,0.19336,-2.17188,0.94141,0.00000,0.00050,0.00000,0.01599,0.05298,0.50000,0.14349,0.00059,0.93038,0.00000,0.86323,0.88466,0.86976,0.91222,0.96321,-0.57047,-0.58088,-0.56252,-0.53784,0.56586,0.55378,0.56882,0.59561,0.48409,0.46634,0.48687,0.52481,0.23163,0.22385,0.23290,0.24992,-0.79971,-0.79828,-0.78731,-0.78078,0.47532,0.47631,0.48869,0.49610,0.40056,0.40341,0.42535,0.43841,0.18168,0.18243,0.19119,0.19636
