epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,mgvt_d/d_h_mean,mgvt_d/d_h_std,mgvt_d/guidance_gate_mean,mgvt_d/guidance_norm,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,2.37743,1293.63220,1597.56017,2.87500,0.07568,-2.93750,0.90625,0.00000,0.00050,0.00000,-0.00592,0.06006,0.50000,0.10221,0.00007,3.92413,0.00000,2.37743,2.46958,2.41751,2.46965,2.64692,-0.02757,-0.09298,-0.12996,-0.08039,0.56870,0.51790,0.55848,0.62141,0.52239,0.43662,0.49692,0.61203,0.24382,0.20931,0.23444,0.27932,-0.02631,-0.00945,-0.01354,0.01755,1.08800,1.11468,1.11256,1.13034,1.94719,1.98089,1.97272,2.03489,0.68547,0.70724,0.70615,0.72220
1,1,1.95455,139.16672,252.20251,4.12500,-0.01178,-4.87500,1.16406,0.00000,0.00050,0.00000,-0.00342,0.07178,0.50000,0.11167,0.00010,3.70060,0.00000,1.95455,2.09722,2.17021,2.08568,1.88454,-0.26176,-0.33335,-0.27688,-0.19320,0.59215,0.65801,0.62947,0.52971,0.58660,0.74187,0.69857,0.46007,0.26283,0.31633,0.30268,0.21783,-0.24462,-0.28576,-0.30638,-0.28770,0.96402,0.94755,0.93115,0.93478,1.51062,1.42834,1.38711,1.42447,0.57259,0.55593,0.54238,0.54766
1,2,1.37413,126.12803,230.80993,3.15625,0.11621,-3.31250,0.82422,0.00000,0.00050,0.00000,-0.00342,0.10791,0.50000,0.12222,0.00013,3.07534,0.00000,1.37413,1.49548,1.40439,1.41165,1.48408,-0.32439,-0.26814,-0.38422,-0.35302,0.45100,0.43918,0.45121,0.48300,0.33056,0.30613,0.32961,0.39230,0.15875,0.14956,0.16004,0.18404,-0.41749,-0.45082,-0.45894,-0.45406,0.84877,0.82905,0.82059,0.82245,1.16492,1.09825,1.08203,1.09178,0.46958,0.45159,0.44486,0.44650
1,3,1.18448,129.21616,276.94678,5.50000,-0.16406,-3.17188,0.98047,0.00000,0.00050,0.00000,-0.00366,0.12305,0.50000,0.13115,0.00014,2.52799,0.00000,1.18448,1.31020,1.29330,1.20638,1.19007,-0.35347,-0.34949,-0.38495,-0.35085,0.47965,0.49751,0.42863,0.43172,0.39032,0.41940,0.33385,0.31329,0.18475,0.19781,0.15725,0.15165,-0.54002,-0.56301,-0.56370,-0.56157,0.75209,0.73314,0.73015,0.73139,0.91988,0.87390,0.87253,0.87679,0.38793,0.37232,0.37082,0.37143
1,4,1.20177,126.54461,223.02413,5.34375,0.17285,-2.51562,1.01562,0.00000,0.00050,0.00000,-0.00885,0.16406,0.50000,0.13694,0.00016,2.10415,0.00000,1.20177,1.29884,1.27123,1.24228,1.25449,-0.43522,-0.42147,-0.41212,-0.42535,0.55276,0.55913,0.54015,0.52246,0.54083,0.54633,0.50694,0.51062,0.24451,0.24703,0.23331,0.23098,-0.62097,-0.63752,-0.63230,-0.62803,0.67770,0.66174,0.66508,0.66772,0.75800,0.72490,0.73534,0.74388,0.32729,0.31497,0.31803,0.32052
1,5,1.04705,123.76601,232.96189,3.45312,0.20703,-3.12500,0.92578,0.00000,0.00050,0.00000,-0.01929,0.17969,0.50000,0.13470,0.00017,1.71362,0.00000,1.04705,1.10024,1.17509,1.12505,1.00788,-0.28473,-0.25513,-0.31091,-0.33227,0.53827,0.59696,0.54299,0.46890,0.46165,0.55318,0.48329,0.36178,0.21741,0.25874,0.22598,0.17295,-0.68068,-0.68902,-0.67909,-0.67692,0.61588,0.60810,0.61665,0.61751,0.63859,0.62191,0.64177,0.64611,0.28018,0.27386,0.28075,0.28185
2,0,0.98542,123.51942,208.65130,3.45312,0.00110,-3.12500,1.06250,0.00000,0.00050,0.00000,-0.01904,0.17773,0.50000,0.13186,0.00019,1.40290,0.00000,0.98542,1.04992,1.08701,1.05156,0.96317,-0.51592,-0.53304,-0.51872,-0.52462,0.53771,0.56132,0.54047,0.48128,0.48906,0.52220,0.48266,0.40109,0.22435,0.24040,0.22338,0.18661,-0.71955,-0.71758,-0.71553,-0.71894,0.57008,0.57234,0.57299,0.56935,0.56086,0.56480,0.56890,0.56209,0.24758,0.24896,0.25003,0.24712
2,1,0.89265,133.76649,226.13668,4.25000,0.28516,-3.14062,1.06250,0.00000,0.00050,0.00000,-0.02161,0.20020,0.50000,0.12994,0.00021,1.11768,0.00000,0.89265,0.94256,0.90340,0.96301,0.95014,-0.40701,-0.41181,-0.41387,-0.44084,0.53790,0.50851,0.54907,0.54470,0.46227,0.43109,0.46943,0.44667,0.21632,0.20107,0.21980,0.21162,-0.75984,-0.76383,-0.75320,-0.74825,0.52237,0.51790,0.52841,0.53349,0.48028,0.47231,0.49357,0.50347,0.21434,0.21094,0.21896,0.22271
2,2,0.73295,130.81441,231.82940,4.93750,0.15723,-3.71875,1.02344,0.00000,0.00050,0.00000,-0.01489,0.22949,0.50000,0.12760,0.00024,0.93170,0.00000,0.73295,0.79114,0.82450,0.76122,0.71315,-0.44699,-0.41972,-0.50880,-0.57446,0.45457,0.47342,0.41152,0.37516,0.34750,0.38245,0.29682,0.23959,0.16469,0.17803,0.14182,0.11555,-0.77817,-0.77896,-0.76778,-0.76321,0.49757,0.49678,0.50832,0.51370,0.44364,0.44206,0.46440,0.47355,0.19810,0.19740,0.20577,0.20948
2,3,0.77798,126.59168,224.79773,6.40625,0.18750,-2.32812,0.92969,0.00000,0.00050,0.00000,-0.01068,0.24023,0.50000,0.12615,0.00023,0.77934,0.00000,0.77798,0.82840,0.88262,0.76743,0.79913,-0.37595,-0.36478,-0.37445,-0.37809,0.49234,0.52967,0.44216,0.43571,0.39792,0.44837,0.30974,0.33423,0.18759,0.21115,0.14989,0.15582,-0.78475,-0.78286,-0.77114,-0.76753,0.48707,0.48909,0.50137,0.50515,0.43047,0.43426,0.45769,0.46490,0.19225,0.19369,0.20243,0.20520
