epoch,itr,loss,gpu-time(ms),iter-time(ms),act_max,act_mean,act_min,act_std,head_loss,info/transition_model/lr,info/transition_model/wd,mgvt_d/d_h_mean,mgvt_d/d_h_std,mgvt_d/guidance_gate_mean,mgvt_d/guidance_norm,optim/transition_model/first_moment,optim/transition_model/grad_norm,optim/transition_model/second_moment,predictor_loss,train_rollout/loss/1,train_rollout/loss/2,train_rollout/loss/3,train_rollout/loss/4,train_rollout/proprio_cos_loss/1,train_rollout/proprio_cos_loss/2,train_rollout/proprio_cos_loss/3,train_rollout/proprio_cos_loss/4,train_rollout/proprio_l1_loss/1,train_rollout/proprio_l1_loss/2,train_rollout/proprio_l1_loss/3,train_rollout/proprio_l1_loss/4,train_rollout/proprio_l2_loss/1,train_rollout/proprio_l2_loss/2,train_rollout/proprio_l2_loss/3,train_rollout/proprio_l2_loss/4,train_rollout/proprio_smooth_l1_loss/1,train_rollout/proprio_smooth_l1_loss/2,train_rollout/proprio_smooth_l1_loss/3,train_rollout/proprio_smooth_l1_loss/4,train_rollout/visual_cos_loss/1,train_rollout/visual_cos_loss/2,train_rollout/visual_cos_loss/3,train_rollout/visual_cos_loss/4,train_rollout/visual_l1_loss/1,train_rollout/visual_l1_loss/2,train_rollout/visual_l1_loss/3,train_rollout/visual_l1_loss/4,train_rollout/visual_l2_loss/1,train_rollout/visual_l2_loss/2,train_rollout/visual_l2_loss/3,train_rollout/visual_l2_loss/4,train_rollout/visual_smooth_l1_loss/1,train_rollout/visual_smooth_l1_loss/2,train_rollout/visual_smooth_l1_loss/3,train_rollout/visual_smooth_l1_loss/4
1,0,2.43012,999.05139,1135.18929,2.23438,0.02747,-2.32812,1.00781,0.00000,0.00050,0.00000,-0.00375,0.06177,0.50000,0.10271,0.00007,3.88280,0.00000,2.43012,2.56416,2.65937,2.51177,2.49802,0.01391,-0.02991,0.05028,0.04929,0.61923,0.63387,0.63293,0.62054,0.54463,0.56229,0.56704,0.55118,0.26337,0.27148,0.27380,0.26672,0.00986,0.04865,-0.02754,-0.02649,1.12484,1.13772,1.09588,1.09589,2.01953,2.09708,1.94473,1.94684,0.71802,0.73057,0.69142,0.69286
1,1,2.19782,134.68010,228.42908,2.28125,-0.13867,-2.21875,0.98438,0.00000,0.00050,0.00000,-0.00650,0.07324,0.50000,0.10244,0.00012,4.07334,0.00000,2.19782,2.38470,2.31076,2.26161,2.31116,-0.35821,-0.25901,-0.29001,-0.26192,0.72877,0.73356,0.74599,0.75231,0.83005,0.84147,0.87224,0.88183,0.36570,0.36960,0.37980,0.38396,-0.22260,-0.26528,-0.30524,-0.28526,0.98732,0.95647,0.92702,0.93572,1.55465,1.46929,1.38937,1.42933,0.59241,0.56485,0.53967,0.54985
1,2,1.60146,123.88042,208.64105,2.32812,0.17676,-2.25000,0.97266,0.00000,0.00050,0.00000,-0.01062,0.09326,0.50000,0.10508,0.00015,3.34885,0.00000,1.60146,1.73955,1.66399,1.65892,1.69128,-0.51321,-0.53731,-0.55423,-0.52108,0.61872,0.61287,0.62349,0.63508,0.58450,0.57157,0.59212,0.61917,0.27439,0.26937,0.27783,0.28798,-0.42242,-0.45374,-0.46655,-0.46389,0.84350,0.82265,0.81038,0.81399,1.15506,1.09241,1.06680,1.07211,0.46663,0.44784,0.43798,0.44012
1,3,1.28823,154.04781,208.94909,2.28125,-0.02100,-2.23438,0.97656,0.00000,0.00050,0.00000,-0.01190,0.10254,0.50000,0.11772,0.00017,2.70560,0.00000,1.28823,1.37836,1.31765,1.35432,1.37827,-0.48351,-0.47209,-0.46562,-0.45058,0.56573,0.55708,0.58484,0.60305,0.46996,0.45874,0.49703,0.51927,0.22896,0.22380,0.24162,0.25205,-0.54576,-0.57051,-0.57132,-0.57046,0.73978,0.71955,0.71619,0.71578,0.90840,0.85891,0.85730,0.85900,0.37968,0.36323,0.36094,0.36101
1,4,1.02472,166.55888,213.11212,2.31250,-0.10059,-2.21875,1.01562,0.00000,0.00050,0.00000,-0.02271,0.11670,0.50000,0.13150,0.00019,2.24979,0.00000,1.02472,1.09744,1.04422,1.06829,1.10841,-0.60064,-0.61662,-0.61647,-0.58872,0.47124,0.45982,0.46773,0.48480,0.36713,0.34437,0.36345,0.39673,0.17431,0.16441,0.17239,0.18661,-0.63481,-0.65005,-0.64755,-0.64413,0.65621,0.64401,0.64560,0.64734,0.73031,0.69985,0.70484,0.71168,0.31353,0.30358,0.30449,0.30629
1,5,1.08261,167.58118,218.16373,2.04688,0.11084,-2.25000,0.98438,0.00000,0.00050,0.00000,-0.03784,0.14160,0.50000,0.13963,0.00022,1.87751,0.00000,1.08261,1.13935,1.13065,1.14639,1.14194,-0.64191,-0.64181,-0.63707,-0.61863,0.60066,0.60601,0.61024,0.60718,0.52789,0.54018,0.54337,0.53417,0.25286,0.25865,0.25981,0.25550,-0.69425,-0.70474,-0.69847,-0.69609,0.59541,0.58608,0.59245,0.59422,0.61146,0.59047,0.60302,0.60776,0.26721,0.26000,0.26448,0.26599
2,0,1.01216,212.14828,270.45679,2.15625,0.00191,-2.35938,0.98828,0.00000,0.00050,0.00000,-0.06177,0.17188,0.50000,0.14838,0.00024,1.50800,0.00000,1.01216,1.07566,1.10649,1.06691,1.01469,-0.55754,-0.54413,-0.56401,-0.56050,0.60935,0.63295,0.59857,0.56524,0.55061,0.58910,0.53430,0.48101,0.26347,0.28177,0.25584,0.23069,-0.73745,-0.74128,-0.73368,-0.73314,0.54862,0.54450,0.55281,0.55316,0.52505,0.51739,0.53261,0.53368,0.23266,0.22998,0.23578,0.23613
2,1,0.94441,131.05206,254.77910,2.23438,0.17480,-2.35938,1.01562,0.00000,0.00050,0.00000,-0.07275,0.18945,0.50000,0.15220,0.00028,1.24941,0.00000,0.94441,0.97679,0.97931,1.00287,1.01404,-0.60650,-0.60057,-0.59336,-0.59204,0.60589,0.60627,0.61788,0.62268,0.50926,0.50817,0.52019,0.53009,0.24847,0.24790,0.25391,0.25847,-0.76622,-0.76441,-0.75864,-0.75801,0.51597,0.51822,0.52418,0.52471,0.46753,0.47114,0.48268,0.48395,0.20896,0.21071,0.21494,0.21538
2,2,0.70024,132.52916,194.73815,2.09375,-0.02087,-2.09375,1.00000,0.00000,0.00050,0.00000,-0.09326,0.22070,0.50000,0.15671,0.00032,1.04083,0.00000,0.70024,0.71022,0.69009,0.75104,0.79164,-0.73531,-0.74513,-0.72724,-0.71506,0.41125,0.39382,0.42071,0.44728,0.27891,0.25655,0.29646,0.33019,0.13794,0.12717,0.14667,0.16307,-0.78433,-0.78321,-0.77269,-0.76926,0.49427,0.49527,0.50692,0.51077,0.43131,0.43354,0.45458,0.46144,0.19388,0.19488,0.20291,0.20558
2,3,0.80173,155.00816,203.49669,2.32812,0.19336,-2.17188,0.94141,0.00000,0.00050,0.00000,-0.10693,0.24219,0.50000,0.15905,0.00034,0.84445,0.00000,0.80173,0.82132,0.81732,0.84800,0.88452,-0.51680,-0.53102,-0.50035,-0.46978,0.52316,0.51838,0.52984,0.54630,0.41743,0.41131,0.42162,0.44542,0.20246,0.19995,0.20430,0.21502,-0.79804,-0.79698,-0.78680,-0.78043,0.47759,0.47852,0.48992,0.49703,0.40389,0.40600,0.42638,0.43910,0.18256,0.18335,0.19133,0.19639
2,4,0.75013,139.65703,203.55725,2.23438,-0.12061,-2.12500,0.99219,0.00000,0.00050,0.00000,-0.11377,0.24609,0.50000,0.16422,0.00034,0.73449,0.00000,0.75013,0.76487,0.73808,0.80275,0.84780,-0.50279,-0.50747,-0.49257,-0.48585,0.50218,0.47440,0.50990,0.54130,0.38496,0.35082,0.38892,0.43079,0.18720,0.17037,0.18927,0.20978,-0.81004,-0.80636,-0.79307,-0.79148,0.46126,0.46555,0.48133,0.48326,0.37990,0.38726,0.41383,0.41701,0.17244,0.17535,0.18597,0.18718
2,5,0.84801,158.44820,226.07064,2.28125,0.04761,-2.35938,0.99609,0.00000,0.00050,0.00000,-0.09082,0.21777,0.50000,0.16555,0.00036,0.75048,0.00000,0.84801,0.86610,0.87720,0.90029,0.92168,-0.59451,-0.58614,-0.60120,-0.60769,0.54871,0.55228,0.54402,0.55080,0.48873,0.49593,0.49399,0.50254,0.23228,0.23538,0.23466,0.23842,-0.81131,-0.80935,-0.79684,-0.79041,0.45881,0.46126,0.47664,0.48435,0.37737,0.38127,0.40631,0.41915,0.17133,0.17279,0.18300,0.18819
