task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,train_step_time_ms_mean,mamba_backend,seeds
METAWORLD_HF:mw-reach,AdaLN,1,1,0.33982674278955904,0.0,0.6102597938999834,0.0,0.9420172490970581,0.0,344680,297.4616040360002,,1
METAWORLD_HF:mw-reach,AdaLN,2,1,0.5621324380764166,0.0,0.745484955419653,0.0,0.9508339812538708,0.0,344680,297.4616040360002,,1
METAWORLD_HF:mw-reach,AdaLN,3,1,0.6397788294466071,0.0,0.7900341007545555,0.0,0.9456589206286575,0.0,344680,297.4616040360002,,1
METAWORLD_HF:mw-reach,AdaLN,4,1,0.673403867936994,0.0,0.8085502300600375,0.0,0.9386005659350184,0.0,344680,297.4616040360002,,1
METAWORLD_HF:mw-reach,AdaLN,5,1,0.6886006346787836,0.0,0.8165078554302654,0.0,0.9300685664917434,0.0,344680,297.4616040360002,,1
METAWORLD_HF:mw-reach,AdaLN,6,1,0.6938325761490138,0.0,0.8180300461544878,0.0,0.9186073957386223,0.0,344680,297.4616040360002,,1
METAWORLD_HF:mw-reach,mgvt_convmixer,1,1,0.17290900131391096,0.0,0.5138950625377228,0.0,0.49318822883085556,0.0,337469,94.13906081300053,,1
METAWORLD_HF:mw-reach,mgvt_convmixer,2,1,0.42933128739879123,0.0,0.6621748410006809,0.0,0.556079451112589,0.0,337469,94.13906081300053,,1
METAWORLD_HF:mw-reach,mgvt_convmixer,3,1,0.5075410525557829,0.0,0.7067426468252693,0.0,0.5549924211661732,0.0,337469,94.13906081300053,,1
METAWORLD_HF:mw-reach,mgvt_convmixer,4,1,0.5439892108803268,0.0,0.7234434997387724,0.0,0.546327514568582,0.0,337469,94.13906081300053,,1
METAWORLD_HF:mw-reach,mgvt_convmixer,5,1,0.5580345426485539,0.0,0.7302085737410646,0.0,0.5595845817575108,0.0,337469,94.13906081300053,,1
METAWORLD_HF:mw-reach,mgvt_convmixer,6,1,0.56278728309276,0.0,0.7309060794873384,0.0,0.5663742952893811,0.0,337469,94.13906081300053,,1
METAWORLD_HF:mw-reach,mgvt_mamba,1,1,0.108736210671594,0.0,0.4841987581669298,0.0,0.4117242693424321,0.0,363176,114.36842430899975,mamba_ssm,1
METAWORLD_HF:mw-reach,mgvt_mamba,2,1,0.3844844980601464,0.0,0.6311983551547186,0.0,0.4815533012242684,0.0,363176,114.36842430899975,mamba_ssm,1
METAWORLD_HF:mw-reach,mgvt_mamba,3,1,0.46558127351974765,0.0,0.6708554948474688,0.0,0.48749714945596057,0.0,363176,114.36842430899975,mamba_ssm,1
METAWORLD_HF:mw-reach,mgvt_mamba,4,1,0.5026715749929187,0.0,0.684011812314765,0.0,0.4801105398586386,0.0,363176,114.36842430899975,mamba_ssm,1
METAWORLD_HF:mw-reach,mgvt_mamba,5,1,0.5172621948611128,0.0,0.6898720590564351,0.0,0.49698624348251497,0.0,363176,114.36842430899975,mamba_ssm,1
METAWORLD_HF:mw-reach,mgvt_mamba,6,1,0.5230842244404512,0.0,0.6909410364341986,0.0,0.515318931438578,0.0,363176,114.36842430899975,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,AdaLN,1,1,0.35524224039631036,0.0,0.6342873385386889,0.0,0.9535142760180484,0.0,344680,306.41058269599824,,1
METAWORLD_HF:mw-reach-wall,AdaLN,2,1,0.5847754328199553,0.0,0.7727030964956992,0.0,0.9560471859896539,0.0,344680,306.41058269599824,,1
METAWORLD_HF:mw-reach-wall,AdaLN,3,1,0.6641085472310412,0.0,0.8200557852811283,0.0,0.9530184866849304,0.0,344680,306.41058269599824,,1
METAWORLD_HF:mw-reach-wall,AdaLN,4,1,0.7006524282893868,0.0,0.8415043308856154,0.0,0.9520162942752485,0.0,344680,306.41058269599824,,1
METAWORLD_HF:mw-reach-wall,AdaLN,5,1,0.7184358226086269,0.0,0.8489050068075641,0.0,0.9518184518702735,0.0,344680,306.41058269599824,,1
METAWORLD_HF:mw-reach-wall,AdaLN,6,1,0.7257951939031306,0.0,0.8513654079918029,0.0,0.9515317767948347,0.0,344680,306.41058269599824,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,1,1,0.154376800156234,0.0,0.5142546743831672,0.0,0.586006473612286,0.0,337469,96.14936600800044,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,2,1,0.44388476565754365,0.0,0.6742294770185357,0.0,0.6499261261331182,0.0,337469,96.14936600800044,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,3,1,0.535907713124751,0.0,0.7288432473698482,0.0,0.6624434584245744,0.0,337469,96.14936600800044,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,4,1,0.582969033113987,0.0,0.7548208512631639,0.0,0.6658954082140236,0.0,337469,96.14936600800044,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,5,1,0.6047722390190677,0.0,0.7668637558619054,0.0,0.6631006048767873,0.0,337469,96.14936600800044,,1
METAWORLD_HF:mw-reach-wall,mgvt_convmixer,6,1,0.6149201848773325,0.0,0.7726965249879518,0.0,0.6567793365464304,0.0,337469,96.14936600800044,,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,1,1,0.15004908197607236,0.0,0.5161421496759875,0.0,0.5924897238428315,0.0,363176,113.34490469799985,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,2,1,0.43545782655078136,0.0,0.6721438995343652,0.0,0.6873345320323092,0.0,363176,113.34490469799985,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,3,1,0.5277979633739791,0.0,0.7254271592278421,0.0,0.7111239214608792,0.0,363176,113.34490469799985,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,4,1,0.5733109560882304,0.0,0.7516525259391246,0.0,0.7226737661108102,0.0,363176,113.34490469799985,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,5,1,0.5934691133968364,0.0,0.7643124796571629,0.0,0.7417947031540526,0.0,363176,113.34490469799985,mamba_ssm,1
METAWORLD_HF:mw-reach-wall,mgvt_mamba,6,1,0.6028026872593215,0.0,0.7704384927712445,0.0,0.7595924697413874,0.0,363176,113.34490469799985,mamba_ssm,1
PointMaze,AdaLN,1,1,0.3599910607306539,0.0,0.6180880571846115,0.0,0.9191604054294473,0.0,343480,306.673011218,,234
PointMaze,AdaLN,2,1,0.4332879471166057,0.0,0.6548288624129979,0.0,0.9246468200156762,0.0,343480,306.673011218,,234
PointMaze,AdaLN,3,1,0.411906872330126,0.0,0.6393343845026147,0.0,0.914685696556801,0.0,343480,306.673011218,,234
PointMaze,AdaLN,4,1,0.3631363304669045,0.0,0.6140660787868543,0.0,0.895851400843818,0.0,343480,306.673011218,,234
PointMaze,AdaLN,5,1,0.3095519432781285,0.0,0.588642943273932,0.0,0.8717626509688448,0.0,343480,306.673011218,,234
PointMaze,AdaLN,6,1,0.2574193923821452,0.0,0.5664032635832873,0.0,0.8450169427797725,0.0,343480,306.673011218,,234
PointMaze,mgvt_convmixer,1,1,0.30201065868062593,0.0,0.523165182939245,0.0,0.9067911072022747,0.0,336279,94.16746330799967,,234
PointMaze,mgvt_convmixer,2,1,0.443157317876666,0.0,0.6158597852827742,0.0,0.908974685308366,0.0,336279,94.16746330799967,,234
PointMaze,mgvt_convmixer,3,1,0.4393697177974093,0.0,0.6195961560473764,0.0,0.896687134560934,0.0,336279,94.16746330799967,,234
PointMaze,mgvt_convmixer,4,1,0.41930123638234407,0.0,0.6064675877457596,0.0,0.8777034225455453,0.0,336279,94.16746330799967,,234
PointMaze,mgvt_convmixer,5,1,0.38370382744464826,0.0,0.5862695494435538,0.0,0.8509060071944143,0.0,336279,94.16746330799967,,234
PointMaze,mgvt_convmixer,6,1,0.35808587669325365,0.0,0.5702263966384356,0.0,0.8193304011522674,0.0,336279,94.16746330799967,,234
PointMaze,mgvt_mamba,1,1,0.3918596003027217,0.0,0.6422490238472119,0.0,0.9109709557953968,0.0,362136,111.66998209899967,mamba_ssm,234
PointMaze,mgvt_mamba,2,1,0.5065572723699238,0.0,0.6965504944242293,0.0,0.9165758005765362,0.0,362136,111.66998209899967,mamba_ssm,234
PointMaze,mgvt_mamba,3,1,0.5014533008832969,0.0,0.6812071034595641,0.0,0.9067963389013729,0.0,362136,111.66998209899967,mamba_ssm,234
PointMaze,mgvt_mamba,4,1,0.47596143507504585,0.0,0.6537743983933411,0.0,0.888410603269792,0.0,362136,111.66998209899967,mamba_ssm,234
PointMaze,mgvt_mamba,5,1,0.4446116664989852,0.0,0.6246595105463602,0.0,0.8606442154488758,0.0,362136,111.66998209899967,mamba_ssm,234
PointMaze,mgvt_mamba,6,1,0.41915659509808,0.0,0.6006588632279443,0.0,0.8258443802694827,0.0,362136,111.66998209899967,mamba_ssm,234
PushT,AdaLN,1,1,0.3477984648119281,0.0,0.5807754489488955,0.0,0.9959404013863247,0.0,343480,262.5797893799996,,234
PushT,AdaLN,2,1,0.48424970589303873,0.0,0.6660265713040108,0.0,0.9968671567143612,0.0,343480,262.5797893799996,,234
