run_id,env,backend,repeat,status,base_config,num_workers,batch_size,world_size,profile_warmup,profile_steps,iterations_per_epoch,dataset_size,rows_used,iter_mean_ms,iter_median_ms,iter_p95_ms,gpu_mean_ms,gpu_median_ms,primary_step_ms,data_fetch_ms,data_to_device_ms,profiler_step_wall_ms,epoch_estimate_min,fifty_epoch_estimate_h,run_dir
20260528_dino_wm_timing_maze_lance_r1,maze,swm_lance,r1,ok,,,,,30,300,360,759,300,230.850,230.807,233.508,218.803,218.666,230.850,0.196,11.690,230.850,2.920,2.434,/home/ps/Code/yqy/DINO-WM/jepawm_logs/20260528_dino_wm_timing_maze_lance_r1
20260528_dino_wm_timing_maze_lance_r2,maze,swm_lance,r2,ok,,,,,30,300,360,759,300,231.019,230.945,233.391,219.410,219.304,231.019,0.176,11.267,231.019,2.922,2.435,/home/ps/Code/yqy/DINO-WM/jepawm_logs/20260528_dino_wm_timing_maze_lance_r2
20260528_dino_wm_timing_maze_lance_r3,maze,swm_lance,r3,ok,,,,,30,300,360,759,300,231.580,231.653,234.561,219.637,219.589,231.580,0.178,11.595,231.580,2.929,2.441,/home/ps/Code/yqy/DINO-WM/jepawm_logs/20260528_dino_wm_timing_maze_lance_r3
20260528_dino_wm_timing_maze_raw_r1,maze,raw,r1,ok,,,,,30,300,360,759,300,837.162,238.173,4836.151,788.199,226.175,837.162,38.053,10.033,837.162,10.590,8.825,/home/ps/Code/yqy/DINO-WM/jepawm_logs/20260528_dino_wm_timing_maze_raw_r1
20260528_dino_wm_timing_maze_raw_r2,maze,raw,r2,ok,,,,,30,300,360,759,300,849.248,236.816,5663.808,812.493,225.727,849.248,26.346,9.566,849.248,10.743,8.952,/home/ps/Code/yqy/DINO-WM/jepawm_logs/20260528_dino_wm_timing_maze_raw_r2
20260528_dino_wm_timing_maze_raw_r3,maze,raw,r3,ok,,,,,30,300,360,759,300,859.137,238.600,4330.911,706.088,226.926,859.137,142.594,9.171,859.137,10.868,9.057,/home/ps/Code/yqy/DINO-WM/jepawm_logs/20260528_dino_wm_timing_maze_raw_r3
20260528_dino_wm_timing_mw_lance_r1,mw,swm_lance,r1,ok,,,,,30,300,360,4725,300,237.016,237.421,240.179,225.334,225.655,237.016,0.237,11.250,237.016,18.665,15.554,/home/ps/Code/yqy/DINO-WM/jepawm_logs/20260528_dino_wm_timing_mw_lance_r1
20260528_dino_wm_timing_mw_lance_r2,mw,swm_lance,r2,ok,,,,,30,300,360,4725,300,236.648,236.603,240.575,225.234,225.089,236.648,0.224,10.989,236.648,18.636,15.530,/home/ps/Code/yqy/DINO-WM/jepawm_logs/20260528_dino_wm_timing_mw_lance_r2
20260528_dino_wm_timing_mw_lance_r3,mw,swm_lance,r3,ok,,,,,30,300,360,4725,300,236.634,236.507,240.940,225.493,225.184,236.634,0.230,10.710,236.634,18.635,15.529,/home/ps/Code/yqy/DINO-WM/jepawm_logs/20260528_dino_wm_timing_mw_lance_r3
20260528_dino_wm_timing_mw_raw_r1,mw,raw,r1,ok,,,,,30,300,360,4725,300,842.775,245.478,3446.100,799.073,235.519,842.775,35.421,7.492,842.775,66.369,55.307,/home/ps/Code/yqy/DINO-WM/jepawm_logs/20260528_dino_wm_timing_mw_raw_r1
